shard,split,video_id,temporal_distance,pairs,mean_full_mae,median_full_mae,mean_human_mae,mean_cloth_mae,mean_skin_mae,mean_full_changed_fraction,mean_human_changed_fraction,mean_cloth_changed_fraction,mean_skin_changed_fraction
Dataset_Shard_0000000_0099999,train,-Hs-zuBOlQE,1,50,0.018655020482838153,0.013437706511467695,0.09555620588362217,0.07111275486648083,0.12690561946481466,0.08471181441326531,0.45434496034390753,0.3886842493080858,0.5595815942452135
Dataset_Shard_0000000_0099999,train,-Hs-zuBOlQE,2,50,0.02769927174784243,0.01625519897788763,0.10666013237088919,0.08235093098133803,0.13840155430138112,0.10184948979591837,0.5184244033175482,0.4527829671066599,0.6331092675959112
Dataset_Shard_0000000_0099999,train,-Hs-zuBOlQE,5,50,0.03795068375766277,0.02687937393784523,0.13867793224751948,0.10336710684001446,0.17885398924350737,0.17629982461734695,0.6251054341986204,0.5576755427641182,0.7253095006385871
Dataset_Shard_0000000_0099999,train,-Hs-zuBOlQE,10,50,0.05021108489483595,0.03517793491482735,0.14696491815149784,0.11589246410876512,0.18021548941731452,0.23665058992346938,0.6374586806693697,0.5831520001558973,0.7259716282179275
Dataset_Shard_0000000_0099999,train,-J04CE5dA74,1,50,0.05177814686670899,0.037052830681204796,0.1476732896268368,0.14871371850371362,0.17735412254929542,0.2063803411989796,0.6251405773557153,0.6066998253210655,0.7468147687168676
Dataset_Shard_0000000_0099999,train,-J04CE5dA74,2,50,0.06496682044118643,0.05356680229306221,0.1694932174682617,0.16554440207779408,0.2137358620017767,0.28340760522959185,0.6983976936064861,0.6789032067020966,0.8323085529626941
Dataset_Shard_0000000_0099999,train,-J04CE5dA74,5,50,0.08550420843064785,0.07227475568652153,0.21052353844046592,0.21135102570056916,0.2266046291589737,0.4033705357142857,0.8229275286990214,0.813928485212755,0.884518705292368
Dataset_Shard_0000000_0099999,train,-J04CE5dA74,10,50,0.10693900145590306,0.09905893355607986,0.22226544171571733,0.22356523796916009,0.23172675028443337,0.48253148915816324,0.8587758982339274,0.8526209683654586,0.8976360563156794
Dataset_Shard_0000000_0099999,train,-Qoo3Uq5-50,1,50,0.06618562387302518,0.043725863099098206,0.14411882922053337,0.13813348203897477,0.17083689615130424,0.26812061543367344,0.6252209663222831,0.5711450757401539,0.7945901324236203
Dataset_Shard_0000000_0099999,train,-Qoo3Uq5-50,2,50,0.1039339256286621,0.0822208896279335,0.18735455602407455,0.18233953848481177,0.21273583710193633,0.41410116390306123,0.7662411345477527,0.7310140494174636,0.8909058413733052
Dataset_Shard_0000000_0099999,train,-Qoo3Uq5-50,5,50,0.18225994903594256,0.23242232203483582,0.24504070609807968,0.2531310547888279,0.2258629535138607,0.675678411989796,0.8613428645464483,0.8429641438769916,0.9272224597891504
Dataset_Shard_0000000_0099999,train,-Qoo3Uq5-50,10,50,0.20100425876677036,0.23552920669317245,0.258817745000124,0.2675006818771362,0.23584646701812745,0.7477826052295918,0.8968060953592601,0.8852677861353803,0.9514204574042222
Dataset_Shard_0000000_0099999,test,-VAjjH6TTts,1,50,0.04915888011455536,0.03997316211462021,0.18540396094787867,0.15697461986448616,0.23710981041658669,0.1795412149234694,0.6636962005560848,0.6506253565129952,0.7175571994546024
Dataset_Shard_0000000_0099999,test,-VAjjH6TTts,2,50,0.058128336975514686,0.04991658218204975,0.19736911818619773,0.16198082734623312,0.2544735426781699,0.24154854910714285,0.7086073882273266,0.6948816072294648,0.757474446422561
Dataset_Shard_0000000_0099999,test,-VAjjH6TTts,5,50,0.07881965453736484,0.06315645948052406,0.23244823434390127,0.19423379870597274,0.2902652978617698,0.3306919642857143,0.8000761671373556,0.7951999569068775,0.8328867224693757
Dataset_Shard_0000000_0099999,test,-VAjjH6TTts,10,50,0.08436331629753113,0.06955809891223907,0.26058706128038467,0.21973383622244,0.322668374623172,0.3220587531887755,0.843431514937654,0.8384877671128179,0.8707146547939623
Dataset_Shard_0000000_0099999,train,-bqSDAsWptU,1,50,0.06622630106285214,0.04852273315191269,0.15489103201776744,0.1392916965484619,0.17218716152012348,0.261344068877551,0.5179056924880535,0.47579207703686843,0.647503286145552
Dataset_Shard_0000000_0099999,train,-bqSDAsWptU,2,50,0.09109776904806495,0.0539359375834465,0.20538961701095104,0.19264182239770888,0.20485140509903432,0.34042450573979594,0.644867855635799,0.6007544420208512,0.7474531552953505
Dataset_Shard_0000000_0099999,train,-bqSDAsWptU,5,50,0.1319464495033026,0.11912816762924194,0.25358553647994997,0.2295689107477665,0.26043868258595465,0.4835630580357143,0.7466176065001305,0.697499669228279,0.8535598762320256
Dataset_Shard_0000000_0099999,train,-bqSDAsWptU,10,50,0.13575560856610536,0.10780658945441246,0.25017074912786486,0.23094062015414238,0.244031962454319,0.5001674107142857,0.7563769836023831,0.7097649104197923,0.8436566232592098
Dataset_Shard_0000000_0099999,test,-jo_cPHYmjg,1,50,0.01827873813919723,0.009930925443768501,0.08782315401360392,0.08009633228182793,0.15070598732680082,0.07700972576530613,0.43304223350152016,0.41317968051427445,0.6401597643667573
Dataset_Shard_0000000_0099999,test,-jo_cPHYmjg,2,50,0.024681324134580792,0.010073717217892408,0.09436818037182093,0.08326951597817242,0.18520944714546203,0.09302734375,0.4500514865457274,0.4196484106848969,0.7021936034684215
Dataset_Shard_0000000_0099999,test,-jo_cPHYmjg,5,50,0.03351735582575202,0.014597310684621334,0.12192142091691494,0.10946541931480169,0.2078349596261978,0.11020448022959183,0.5736538021394997,0.5449755573707776,0.7744926316824706
Dataset_Shard_0000000_0099999,test,-jo_cPHYmjg,10,50,0.039279034920036794,0.017707292921841145,0.13135059233754873,0.12163109693676233,0.2122146913409233,0.1293052455357143,0.6011379891033384,0.5813529924797827,0.7796490605755417
Dataset_Shard_0000000_0099999,train,-tqqp2KwCIQ,1,50,0.054774532094597816,0.049211494624614716,0.1795533490180969,0.16181034252047538,0.19735761538147925,0.24081951530612244,0.7444476516252878,0.6647896159519042,0.8451432986168421
Dataset_Shard_0000000_0099999,train,-tqqp2KwCIQ,2,50,0.07075955271720887,0.06226242892444134,0.20438240066170693,0.18924169048666953,0.21341547429561614,0.32545719068877554,0.8114083402833105,0.751527203388196,0.8824630628901321
Dataset_Shard_0000000_0099999,train,-tqqp2KwCIQ,5,50,0.08791494682431221,0.08282298594713211,0.2627237969636917,0.2645585598051548,0.25540473133325575,0.4030990911989796,0.8898517321406599,0.856520835651847,0.9373224113598336
Dataset_Shard_0000000_0099999,train,-tqqp2KwCIQ,10,50,0.08131391845643521,0.0807948000729084,0.2413949976861477,0.23351153880357742,0.2370503881573677,0.4139568718112245,0.884385636163795,0.8433518927371922,0.9182490895972351
Dataset_Shard_0000000_0099999,test,-wUKLCvobpI,1,50,0.024329706541902852,0.014603132382035255,0.09084658867373946,0.08639600899885408,0.10416740583255887,0.1042482461734694,0.4310204043730609,0.3994032021413738,0.5301621993468058
Dataset_Shard_0000000_0099999,test,-wUKLCvobpI,2,50,0.04022583471145481,0.027594643644988537,0.12484494410455227,0.11731666222214698,0.15315474584698677,0.17370575573979594,0.5771253189014437,0.5510650074924721,0.6921317413898688
Dataset_Shard_0000000_0099999,test,-wUKLCvobpI,5,50,0.06703756677918137,0.03544309921562672,0.16016801051795482,0.15372712444514036,0.18079372242093086,0.2726426977040816,0.6893468629844279,0.6652834866451651,0.7839398028247402
Dataset_Shard_0000000_0099999,test,-wUKLCvobpI,10,50,0.07005953713320195,0.040421195328235626,0.152782034650445,0.14833948124200105,0.1686057262122631,0.29203085140306123,0.666655635573173,0.6520206273621689,0.7380078576606944
Dataset_Shard_0000000_0099999,train,02MD08BgFZ0,1,50,0.10942720888182521,0.12087814137339592,0.1533350695669651,0.1397640460729599,0.1624045265093446,0.45584701849489795,0.7046842582916543,0.6586164680479344,0.768368981960217
Dataset_Shard_0000000_0099999,train,02MD08BgFZ0,2,50,0.14059996217489243,0.15201435983181,0.18677592933177947,0.17908407762646675,0.1842147094011307,0.5641792889030612,0.8165975889303648,0.7931000962603004,0.8486778410362257
Dataset_Shard_0000000_0099999,train,02MD08BgFZ0,5,50,0.19552051763981582,0.22692420333623886,0.23020371556282043,0.22850073292851447,0.2117051462829113,0.7193797831632653,0.897354193042672,0.8853207345303697,0.9095673511974557
Dataset_Shard_0000000_0099999,train,02MD08BgFZ0,10,50,0.2097654154151678,0.24128923565149307,0.2533622354269028,0.25943054497241974,0.2206745785474777,0.7653073182397959,0.9131976148849533,0.9036926164828379,0.918812577919295
Dataset_Shard_0000000_0099999,train,0FxsmwVeriw,1,50,0.08689611367881298,0.05322178080677986,0.16849591977894307,0.15691474683582782,0.209271841943264,0.3614492984693877,0.6689558546813433,0.6151198682832429,0.8359590660425325
Dataset_Shard_0000000_0099999,train,0FxsmwVeriw,2,50,0.0972749274969101,0.060465117916464806,0.19360245764255524,0.18660499446094037,0.2253763948380947,0.3706652582908163,0.7317284810473977,0.6884479482932733,0.8645399589829452
Dataset_Shard_0000000_0099999,train,0FxsmwVeriw,5,50,0.13434174977242946,0.1277938038110733,0.22881860747933389,0.23142578825354576,0.23743344187736512,0.5424673150510204,0.8047192656302811,0.7684677009719053,0.9100872737943736
Dataset_Shard_0000000_0099999,train,0FxsmwVeriw,10,50,0.12286432340741157,0.08482824638485909,0.20154397204518318,0.18909255519509316,0.24674007028341294,0.49759885204081633,0.7781973889238052,0.7308708207818944,0.8948770493478141
Dataset_Shard_0000000_0099999,train,0NN6ySHCHVA,1,50,0.12026324778795243,0.13278036564588547,0.1671620976179838,0.16205425664782525,0.17478206142783165,0.5688412786989796,0.8064234473067288,0.7977459557763098,0.8288474755851489
Dataset_Shard_0000000_0099999,train,0NN6ySHCHVA,2,50,0.14626339130103588,0.1533437967300415,0.1867092540860176,0.1843385672569275,0.18894841387867928,0.6438396843112245,0.8423662186942615,0.8362933706482137,0.8464972747392485
Dataset_Shard_0000000_0099999,train,0NN6ySHCHVA,5,50,0.18320997908711434,0.1942625567317009,0.21464918956160545,0.20695788711309432,0.2248547840118408,0.7746277104591838,0.9022383596778316,0.8933765027349277,0.9122294157433798
Dataset_Shard_0000000_0099999,train,0NN6ySHCHVA,10,50,0.18752517960965634,0.20389162749052048,0.20428986042737962,0.19914130374789238,0.20749265998601912,0.7917733577806122,0.9029157871481479,0.8909121453477162,0.9086719462620332
Dataset_Shard_0000000_0099999,train,0TJxBDyP9dw,1,50,0.09573267485946417,0.07550341635942459,0.24953915044665337,0.20351625084877015,0.2993558023869991,0.3336172672193877,0.8094549346411629,0.7636332181961837,0.8666005172572661
Dataset_Shard_0000000_0099999,train,0TJxBDyP9dw,2,50,0.10809229454025626,0.08659450709819794,0.2664012712240219,0.22540379747748374,0.31206111013889315,0.3836415816326531,0.8430469228926986,0.8071862175049331,0.885375758084538
Dataset_Shard_0000000_0099999,train,0TJxBDyP9dw,5,50,0.12331790551543236,0.1275894194841385,0.2920162880420685,0.24581227630376815,0.33397392511367796,0.4995874521683673,0.8825026174812589,0.8425215598068689,0.9196662068815029
Dataset_Shard_0000000_0099999,train,0TJxBDyP9dw,10,50,0.1435764331370592,0.13855961710214615,0.30323096573352815,0.25639499753713607,0.3483485034108162,0.538820950255102,0.8901950499138512,0.852604144272192,0.9391431484834386
Dataset_Shard_0000000_0099999,train,0U2jrFZuBZM,1,50,0.04027283074334264,0.03046593815088272,0.12172007203102111,0.11851458635181189,0.13112845167517662,0.18440848214285716,0.6515533556036338,0.6038669705614863,0.733839211764522
Dataset_Shard_0000000_0099999,train,0U2jrFZuBZM,2,50,0.05330085583031177,0.03683830238878727,0.13985983833670615,0.13617129139602185,0.14638050749897957,0.23759805484693877,0.7115467609698456,0.688306906075115,0.7575228083441894
Dataset_Shard_0000000_0099999,train,0U2jrFZuBZM,5,50,0.07170734148472548,0.061638275161385536,0.16929807737469674,0.17529846638441085,0.16798707813024522,0.3327710459183673,0.8048498907323672,0.7872889001517795,0.8344371571352973
