shard,split,video_id,mean_flow_magnitude,median_flow_magnitude,p90_flow_magnitude,mean_fb_error,fb_consistency_ratio_pair,mean_warp_error,human_mask_coverage,human_mean_flow_magnitude,human_mean_fb_error,human_fb_consistency_ratio,human_mean_warp_error,pairs
Dataset_Shard_0000000_0099999,test,-VAjjH6TTts,2.971448745848611,0.5464726488245651,9.790134020280092,1.535176124954596,0.808339188286026,12.484118338227272,0.15436264349489798,8.124536905102431,3.061685002607992,0.5472066957723151,33.63050467520952,200
Dataset_Shard_0000000_0099999,test,-jo_cPHYmjg,0.896459865346551,0.25834770066494456,2.5688777610287072,0.5052577967336401,0.9389388219681654,5.497878794819116,0.06449527662627551,2.974035882949829,0.8676320899836719,0.8435405193815765,15.37106260895729,200
Dataset_Shard_0000000_0099999,test,-wUKLCvobpI,2.2297492920432704,0.9972331727080745,6.00678795917891,1.0174270717171021,0.8541430088927064,12.670441309511661,0.14375229193239797,5.236626544710598,1.8174691456960863,0.7016870387872541,22.572455351826502,200
Dataset_Shard_0000000_0099999,test,3cwtNTYOszU,3.6574455442652107,1.8302960901556071,9.906559136509895,2.230718558812514,0.747215729437453,20.684520073235035,0.17824258609693877,7.384208685159683,3.2808663439936936,0.567551482890608,33.712471357584,200
Dataset_Shard_0000000_0099999,test,46-qefy8Nwc,6.650083136558533,4.52399530261755,14.695316705703735,4.671350061893463,0.5477049285011747,27.331721888780592,0.25409618144132656,7.8933664679527284,3.39011065363884,0.506340819627535,34.33819550514221,200
Dataset_Shard_0000000_0099999,test,4bA4M-spkoI,4.301715256311,1.5902911987807602,12.008502648696304,2.1540241275448353,0.7166864912264923,16.99987645417452,0.2529878826530612,8.190734432453755,3.4414082857288304,0.5191749944956701,28.335323046445847,200
Dataset_Shard_0000000_0099999,test,5Cq1OqWFAzw,3.3644936430454253,1.5875977540295572,9.1975623562932,1.9036903044581412,0.775839439947852,16.528555320501326,0.22278101084183674,6.946153017282486,3.2856098437309265,0.5914271772552478,26.14786136627197,200
Dataset_Shard_0000000_0099999,test,5oBOMUXaJwc,3.4248193541169165,1.177057489361614,10.257052898705005,1.9486009904183448,0.7479016494601758,17.8251264244318,0.18939861686862244,7.836057394742966,3.53684470243752,0.4811933435083437,38.93945402860641,200
Dataset_Shard_0000000_0099999,test,8e9ejcfVQfY,4.735613049296663,1.1561247759102844,13.91742280298844,3.6083633056876714,0.7227197449210877,16.09930574081838,0.09819405691964286,11.476262225543614,5.593426626925357,0.4445124920008942,39.10077004205436,200
Dataset_Shard_0000000_0099999,test,9azhMaMU4Eo,2.309279146566987,0.519939048695378,7.4332435882091525,1.0818843235448004,0.8247748712059665,11.910030623674393,0.12042879065688776,4.3224189586259305,1.5471328916303901,0.7373678537428436,17.03212573456578,200
Dataset_Shard_0100000_0199999,test,CzkK0xSXUMs,1.9183484783768654,0.7268029466550797,5.8774681754410265,0.7155657171644271,0.8875313764150283,13.730635209083557,0.15515565210459184,5.182689735353924,2.0476755996095015,0.7107430816811854,23.09435733405873,200
Dataset_Shard_0100000_0199999,test,F3BeAm1eM6Y,3.263239899277687,2.0100329168327153,8.479720311164856,1.2618524293974043,0.8080851519848723,15.14990923523903,0.20619728555484695,5.248972249189392,1.064055249884841,0.815064638264234,27.137493226081133,200
Dataset_Shard_0100000_0199999,test,HDs_owlm-kM,5.524369316101074,4.374674278944731,12.441650544404984,2.068977768495679,0.6612961972319945,28.319943375587464,0.3263490513392857,6.955467754602433,2.2464590698480604,0.6104106768130169,31.261077959537506,200
Dataset_Shard_0100000_0199999,test,I3ynWCdH9-Q,5.266000834405422,2.898800793346018,13.652945693135262,3.211587485447526,0.6401128082968193,21.220816472768785,0.1987259845344388,7.189457315504551,3.6679749089106917,0.5379184420839281,29.30519877076149,200
Dataset_Shard_0100000_0199999,test,J2BXGfLbEQk,2.5022318048775194,0.6916500800102949,8.026520863175392,1.053732191324234,0.8339357336018816,17.210242116451262,0.1508775111607143,6.328478274941444,1.6500922154262663,0.6860747021253867,30.941678113937378,200
Dataset_Shard_0100000_0199999,test,J2x0zNcfLzg,5.027775553464889,2.947280084602535,12.90939683675766,2.44545695848763,0.6376750637143269,26.844112211465834,0.3042106784119898,7.242742845416069,3.0894873762875794,0.5351539421263873,35.498718845844266,200
Dataset_Shard_0100000_0199999,test,J72oRFQXj5o,4.674429193213582,2.812186710331589,11.45214784860611,2.4562687199842186,0.7031634990535106,19.168466570973397,0.2239597616390306,7.651053734719754,2.820360304992646,0.5937317296267339,28.750402096509934,200
Dataset_Shard_0100000_0199999,test,J8RgC4W1HeU,2.2320368838310243,0.6266217135777697,7.523254637122154,1.3892247080989182,0.8401365862459361,14.314181617200374,0.09989825813137754,6.8166392028331755,2.951363386437297,0.5812121185884114,39.97865300893783,200
Dataset_Shard_0100000_0199999,test,KcYwOQfhWUk,1.5428104409575463,0.30576781508978457,5.5522904546558856,0.6993655789457262,0.9005672998539965,8.034938366115092,0.12058723294005101,5.504764681756496,1.7528869351930916,0.7421606946060425,21.90185739636421,200
Dataset_Shard_0200000_0299999,test,OLLAoZsGd0Q,3.6309126156568525,1.2237218609417324,10.570164624601603,2.355739549342543,0.7889520640568817,14.55453653305769,0.19241290656887755,7.614806442856788,4.25759902600199,0.5794690815709799,24.876000825166702,200
Dataset_Shard_0200000_0299999,test,PfsdriLJNvI,4.68591341972351,1.9936131932772696,12.876264218091965,3.0762345790863037,0.6784609915891054,21.3570399582386,0.20958994339923467,8.581801670730346,4.200170977310627,0.4644513031413958,36.48345600347966,200
Dataset_Shard_0200000_0299999,test,QJ-yAwmzwSs,3.9066360926628114,1.4652961531281472,11.144646217823029,1.9754791005700827,0.7331597647836139,13.016969187259674,0.23718849649234694,7.406609672904015,3.130294675268233,0.5176009839651624,24.421677446365358,200
Dataset_Shard_0200000_0299999,test,QLqrGlVdPCw,4.760559180398413,3.146679218173133,11.104588689747615,2.684327951974119,0.6574439255060937,23.730280551396426,0.11620645328443878,7.38101277619513,2.9575510664056672,0.5513855037263256,35.022879619030284,200
Dataset_Shard_0200000_0299999,test,QULIHG8qXNw,6.160742808878422,4.7905227892100815,13.115797460079193,3.0494667756929994,0.5455739386973348,38.22697268724441,0.27767538265306124,7.840844455361366,3.417507211640477,0.45949767097587163,41.881197514533994,200
Dataset_Shard_0200000_0299999,test,S-x-08mtMhM,3.0682701522894784,0.6197155396383358,9.742465885590393,1.5645718386593217,0.7840900446855693,16.103588224233828,0.19674027423469387,7.717559186234825,2.9629085782852234,0.5368427723629868,31.619138481318952,200
Dataset_Shard_0300000_0399999,test,c3SQmrJFsLY,2.4439381366968154,0.9893278690101579,6.777562877722085,0.8756042582727969,0.8469517592069218,14.139499130249023,0.12882882254464287,5.077674537034182,1.5465936687929207,0.706757749082404,30.763774208840914,200
Dataset_Shard_0300000_0399999,test,hY6RjtE0L18,4.31312068335712,2.2452325649885463,11.541523015797138,2.331569158658385,0.7011404874995775,21.50807679772377,0.23367904974489798,7.871584761738777,3.5142191038653254,0.5562271457245235,34.60881595849991,200
Dataset_Shard_0300000_0399999,test,kMMFVGirbAo,2.8613681007921694,0.6120202460553265,9.445482772290706,1.6089561260677874,0.8114797343258922,14.818137938380241,0.17298529177295918,7.2188558187519085,2.5208238479096328,0.6338470236419226,30.09303379240446,200
Dataset_Shard_0300000_0399999,test,lFhCwScSprM,4.3394750084728,2.160674978529787,11.655946467369795,2.8444322335533796,0.7130921639418472,28.44228773653507,0.20594487404336737,7.007315683008637,3.181233780530747,0.5477450906925952,42.352895463742314,200
Dataset_Shard_0300000_0399999,test,n72VzMg9PvU,3.261746976226568,1.526036707595922,9.075874378979206,1.7021200322732328,0.7644729593762039,17.303082453012465,0.16129344706632653,6.179963929069636,2.265633108052352,0.6248876991290383,30.325842081434093,200
Dataset_Shard_0300000_0399999,test,nVCvscVOQJM,0.5750501359999179,0.096947369473055,2.0140274506807327,0.15621615502983333,0.9791469157246491,4.732511078119278,0.14201799665178572,2.13103675916791,0.33607745099812747,0.9539942586914463,14.820889399051666,200
Dataset_Shard_0400000_0499999,test,nVCvscVOQJM,2.3710535164177418,1.1105987455532886,6.610276268720627,0.8513223269581794,0.8612441167569633,13.523121913671494,0.09546187420280612,3.988771035969257,1.390272346753627,0.7812464177127509,24.075441217422487,200
Dataset_Shard_0400000_0499999,test,ncA2W_lCihM,3.0896797442436217,0.3777246097195894,10.142654881477355,1.7809582091867924,0.7849458167045924,17.701902594566345,0.15332240513392859,8.222828007936478,2.7812934182584286,0.5663296562904141,34.40235192298889,200
Dataset_Shard_0400000_0499999,test,rSvMG28dPqk,5.069048063158989,2.916912700033281,12.924233027696609,2.6175602044165136,0.6890139534326748,22.0784363001585,0.28944913903061226,8.243308187425136,3.2887850174307824,0.5689476089681746,33.21628429293632,200
Dataset_Shard_0400000_0499999,test,sM1dnw-TOcE,4.548979577600839,3.4261575484334976,10.244233239219666,2.27251742537308,0.6927651826778516,22.33179961536254,0.1409897161989796,7.0001184083505885,2.2849824267643943,0.6141924178130264,32.81086462855339,200
Dataset_Shard_0400000_0499999,test,tFReD_CSTZQ,5.32195508025703,3.717406547646176,11.771843769757544,2.7447568824043262,0.6742390272475555,26.94205003850162,0.19547413105867345,7.502254825134296,3.258058742059802,0.5949625638262485,28.937254272545687,200
Dataset_Shard_0400000_0499999,test,uLa8mjhrP18,1.6254714453220367,0.43700001484714446,4.837969556748867,0.7382099624164402,0.8877202088442953,11.307211531996726,0.18587322624362243,3.208269948363304,1.124235834032297,0.8013689677602587,13.308728128671646,200
Dataset_Shard_0400000_0499999,test,uaW87-Yz9wQ,4.000350771471858,2.5538060107454656,9.553762480169535,1.7111521157342942,0.7553717946127214,18.03031232267618,0.22494838169642858,6.287832522392273,2.1968867594748733,0.646787307608367,28.723204045295716,200
Dataset_Shard_0400000_0499999,test,udfXY1v4lks,3.892633694931865,1.6942085386626422,10.634252242147923,2.222189405951649,0.7246542804570442,20.07153704583645,0.14014857700892858,7.714025256186724,3.1708315037563444,0.5542248223854367,30.735099693536757,200
Dataset_Shard_0400000_0499999,test,wxv1SDr8Kck,6.46937063485384,4.773942503975705,14.584928392171859,3.531458210349083,0.5446588414843836,36.59182802200317,0.419865573182398,8.95111492395401,3.915201540291309,0.42887210820338934,45.91838317871094,200
Dataset_Shard_0400000_0499999,test,xfv3d809TTc,8.229609887301923,5.409145605936646,18.059535154104232,5.694408795833588,0.5001634012524228,36.30194410800934,0.2985465162627551,8.272370156692196,4.28911454194651,0.4713814826514225,39.865987879708406,200
Dataset_Shard_0400000_0499999,test,zHY3o_AprOU,5.146862132251263,4.939813614487648,8.393534587621689,1.173455511778593,0.8036064236198267,16.070360025167464,0.10285883689413267,6.05780803412199,1.639115066472441,0.7108472976635503,26.31699143886566,200
Dataset_Shard_0000000_0099999,train,-Hs-zuBOlQE,2.6406403923779727,0.937181332395412,7.118233924508095,1.6099673316068948,0.8360332065751748,7.370624747574329,0.10735550860969388,6.079502513408661,2.4983243998885154,0.6171459511066987,21.163641500473023,200
Dataset_Shard_0000000_0099999,train,-J04CE5dA74,3.2760288468003274,1.2554733419977129,9.283883344978094,1.8266677447408437,0.7660604847535576,17.867706349492074,0.17687290736607142,6.781470250487327,2.9553413201868532,0.5591984628403825,36.388297247886655,200
Dataset_Shard_0000000_0099999,train,-Qoo3Uq5-50,5.278653599470854,4.129399061203003,11.007303847670554,2.3989536898210644,0.6252038449292747,29.753979828357696,0.16972277582908163,7.454464367032051,2.8034712827205657,0.5541967546802279,40.10447065353394,200
