video_id,split,shard,temporal_distance,pairs,mean_motion_magnitude,median_motion_magnitude,p90_motion_magnitude,mean_motion_coverage,mean_dx,mean_dy,mean_direction
-Hs-zuBOlQE,train,Dataset_Shard_0000000_0099999,1,50,1.639092085659504,0.9990608394145966,3.592694449424744,0.29007692920918365,0.045538440267555415,-0.15828491475433112,-15.21581482406916
-Hs-zuBOlQE,train,Dataset_Shard_0000000_0099999,2,50,2.1636485296487806,2.202518105506897,3.758407258987427,0.3725326849489796,0.08366963008418679,-0.0178877192735672,2.178574277281902
-Hs-zuBOlQE,train,Dataset_Shard_0000000_0099999,5,50,3.5287400114536287,2.53188955783844,8.086097431182862,0.4828324298469388,-0.05509482448920608,-0.039053754544002006,16.380019468886005
-Hs-zuBOlQE,train,Dataset_Shard_0000000_0099999,10,50,3.2755264270305635,2.1618528366088867,8.003800487518312,0.4545400191326531,-0.14120432291179896,0.10011285085231066,9.322850712753567
-J04CE5dA74,train,Dataset_Shard_0000000_0099999,1,50,2.055694966316223,1.2974879145622253,4.6115229606628425,0.3574736926020408,-0.02381025739654433,0.12686840498819948,28.012780407645117
-J04CE5dA74,train,Dataset_Shard_0000000_0099999,2,50,3.46292693734169,2.7682141065597534,6.45857720375061,0.4650151466836735,-0.048108624496962876,0.04263655796647072,12.028338492781941
-J04CE5dA74,train,Dataset_Shard_0000000_0099999,5,50,3.646489384174347,3.1524548530578613,6.961935043334961,0.5050239158163266,-0.07464510082267224,0.3220054997317493,26.228769109285373
-J04CE5dA74,train,Dataset_Shard_0000000_0099999,10,50,3.9273235619068148,3.263743281364441,7.257453632354738,0.5319738520408164,-0.11621885433793068,-0.07325159531086683,-35.38874442999157
-Qoo3Uq5-50,train,Dataset_Shard_0000000_0099999,1,50,3.1175186133384702,2.497448444366455,7.115217018127443,0.49514947385204083,0.03620877990499139,0.16383734288159757,18.978091650192493
-Qoo3Uq5-50,train,Dataset_Shard_0000000_0099999,2,50,4.277352877855301,3.2878756523132324,9.68029136657715,0.5838169642857143,-0.11316469706594944,-0.12940101385116576,-14.58933899823846
-Qoo3Uq5-50,train,Dataset_Shard_0000000_0099999,5,50,6.0075093126297,6.276308059692383,10.15321750640869,0.7192538265306122,-0.16096223443746566,1.0121332281082869,14.727864482350187
-Qoo3Uq5-50,train,Dataset_Shard_0000000_0099999,10,50,7.714014698266983,8.887807369232178,10.11436243057251,0.8601594387755103,0.5589270297437906,0.8448501501977443,8.73467773796055
-VAjjH6TTts,test,Dataset_Shard_0000000_0099999,1,50,2.2995019964128733,1.758022964000702,4.833556890487671,0.30172273596938776,0.018318256275961176,-0.13816182133188704,-1.7623134198931636
-VAjjH6TTts,test,Dataset_Shard_0000000_0099999,2,50,2.9546148367226124,2.8634763956069946,4.561320877075197,0.3259351084183673,-0.13380266375024802,0.19432837278000079,13.732361972850297
-VAjjH6TTts,test,Dataset_Shard_0000000_0099999,5,50,2.7335587088018656,2.48646879196167,3.808313322067261,0.3348305963010204,-0.17220454840688035,0.17490191505290567,8.878457323600474
-VAjjH6TTts,test,Dataset_Shard_0000000_0099999,10,50,3.3761469964683055,2.9999914169311523,6.500142049789429,0.3547329400510204,0.5642089474282693,-0.009945786824682728,16.265611503824307
